razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos;acessibilidade;tipo_veiculo
SARA TRANSPORTE E TURISMO LTDA;33.387.620/0001-84;AAA-4C59;Não;Sim;Não;2025-04-03;2025-02-03;2008;Executivo;44;44;H - Cadeira de transbordo.;Ônibus
NETOS TURISMO LTDA;11.965.376/0001-57;AAO-3A09;Não;Sim;Não;2025-04-23;2025-04-26;2008;Executivo;44;44;Q - Cadeira de transbordo;Ônibus
TRANSPORTES ICO LTDA;04.896.697/0001-81;AAQ-7A55;Não;Sim;Não;2025-02-06;2025-02-09;1988;Convencional;45;45;Sem Acessibilidade;Ônibus
EDSON LIZIANO BARBIERE LTDA;19.776.248/0001-77;AAY-5F53;Não;Sim;Não;2025-05-10;2025-01-26;2016;Executivo;16;16;Q - Cadeira de transbordo;Micro-ônibus
CIH TRANSPORTES LTDA;47.418.428/0001-12;AAY-5I09;Não;Sim;Não;2025-04-30;2025-01-09;2001;Executivo;26;26;Q - Cadeira de transbordo;Ônibus
FUNTUR TRANSPORTE E TURISMO LTDA;39.476.381/0001-15;AAY-6G11;Não;Sim;Não;2025-03-19;2025-02-26;2014;Executivo;18;18;Sem Acessibilidade;Micro-ônibus
ROVANS TRANSPORTE E TURISMO LTDA.;10.746.363/0001-24;AAY-8I55;Não;Sim;Não;2025-05-08;2025-01-08;2014;Executivo;33;33;H - Cadeira de transbordo.;Ônibus
COOPERSIND COOPERATIVA DE TRANSPORTES DE CARGAS, PASSAGEIROS, ESCOLAR E TURISMO DE MINAS GERAIS;20.375.162/0001-11;ABG-6222;Não;Sim;Não;2025-05-23;2025-05-27;2011;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
COOPTUR COOPERATIVA DE TRANSPORTES EM GERAL TURISTICOS & SERVICOS;23.841.160/0001-69;ABK-3I27;Não;Sim;Não;2025-01-03;2025-04-22;2001;Executivo;50;50;Q - Cadeira de transbordo;Ônibus
DMS TRANSPORTES DE PASSAGEIRO E LOCACAO DE VEICULOS LTDA;22.065.802/0001-12;ABK-5E26;Não;Sim;Não;2025-03-25;2025-01-04;2001;Executivo;47;47;Q - Cadeira de transbordo;Ônibus
LIZIANE BOBIKA TRANSPORTES - EIRELI;05.242.489/0001-21;ABK-5E27;Não;Sim;Não;2025-04-18;2025-03-28;2001;Executivo;45;45;Q - Cadeira de transbordo;Ônibus
ITAIPU TRAVEL LTDA;05.660.868/0001-31;ABL-6C02;Não;Sim;Não;2025-07-01;2025-07-04;2015;Executivo;60;60;H - Cadeira de transbordo.;Ônibus
TRANSPORTES JU TUR LTDA;04.222.940/0001-86;ABQ-2A50;Não;Sim;Não;2025-03-25;2025-03-22;2013;Executivo;33;33;H - Cadeira de transbordo.;Ônibus
BITUR TRANSPORTADORA TURISTICA LTDA;00.579.954/0001-09;ABT-5363;Não;Sim;Não;2025-05-17;2025-03-04;2012;Executivo;29;29;H - Cadeira de transbordo.;Ônibus
ROSEMARY TELOKEN EIRELI;32.013.911/0001-40;ABT-5A77;Não;Sim;Não;2025-02-26;2025-03-29;2012;Executivo;21;21;H - Cadeira de transbordo.;Ônibus
TRANSPORTES EXECUTIVO LTDA;02.964.408/0001-09;ABV-4647;Não;Sim;Não;2025-02-28;2025-07-06;2014;Executivo;56;56;H - Cadeira de transbordo.;Ônibus
BANTUR TURISMO LTDA;08.801.221/0001-70;ABW-3662;Não;Sim;Não;2025-03-06;2024-12-28;2001;Executivo;51;51;H - Cadeira de transbordo.;Ônibus
KODAMATUR TRANSPORTE E TURISMO LTDA;21.973.893/0001-21;ABW-7G22;Não;Sim;Não;2025-01-16;2025-06-25;2001;Executivo;42;42;Q - Cadeira de transbordo;Ônibus
MB TURISMO LTDA;29.047.688/0001-47;ABW-8F89;Não;Sim;Não;2025-01-01;2025-04-18;2001;Executivo;47;47;H - Cadeira de transbordo.;Ônibus
LINHARES TURISMO LTDA;20.992.999/0001-00;ABY-3B01;Não;Sim;Não;2025-01-02;2025-07-02;2001;Executivo;43;43;Q - Cadeira de transbordo;Ônibus
PAI & FILHO TRANSPORTE E TURISMO LTDA;48.589.729/0001-71;ABY-3B02;Não;Sim;Não;2025-05-26;2025-04-26;2001;Executivo;51;51;Q - Cadeira de transbordo;Ônibus
CURVELO TURISMO LTDA;25.153.315/0001-08;ACO-2A52;Não;Sim;Não;2025-01-09;2025-06-24;1991;Executivo;28;28;Sem Acessibilidade;Ônibus
MLF RA TRANSPORTES LTDA;31.110.951/0001-47;ACS-2C56;Não;Sim;Não;2025-03-05;2025-02-19;2014;Executivo;18;18;Sem Acessibilidade;Micro-ônibus
MONICATUR TRANSPORTES E TURISMO EIRELI;32.922.066/0001-25;ACS-4310;Não;Sim;Não;2025-05-17;2025-02-03;2014;Executivo;26;26;H - Cadeira de transbordo.;Ônibus
GENESIS TURISMO LTDA;51.225.010/0001-66;ACV-4C29;Não;Sim;Não;2025-04-14;2025-04-02;1992;Executivo;47;47;Sem Acessibilidade;Ônibus
GB TURISMO LTDA;54.241.751/0001-29;ADJ-9G68;Não;Sim;Não;2025-01-09;2025-04-23;2008;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
