razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro;ano_fabricacao;categoria_veiculo;nr_assentos_categoria;nr_assentos;acessibilidade;tipo_veiculo
011 TRANSPORTES E TURISMO LTDA;12.463.028/0001-44;FGB-0D11;Não;Sim;Não;2025-03-25;2025-11-03;2022;Executivo;33;33;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
2 MARCOS TURISMO LTDA;11.151.062/0001-10;PVH-7A20;Não;Sim;Não;2025-02-22;2025-09-22;2014;Executivo;18;18;Sem Acessibilidade;Micro-ônibus
2 RS TRANSPORTES TURISTICOS E LOGISTICA LTDA;13.707.885/0001-05;RJU-6J68;Não;Sim;Não;2025-10-16;2025-10-15;2021;Executivo;21;21;Sem Acessibilidade;Micro-ônibus
20 BUSCAR TURISMO LTDA - ME;13.090.085/0001-98;SRP-3B51;Não;Sim;Não;2025-10-07;2025-08-15;2023;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
20 LEVAR MAX TRANSPORTE E TURISMO LTDA;26.118.566/0001-06;CUU-1A04;Não;Sim;Não;2025-07-23;2025-05-18;2021;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
3 T TRANSPORTES E TURISMO LTDA;44.046.160/0001-47;GXH-5H45;Não;Sim;Não;2025-04-10;2025-08-23;2001;Executivo;46;46;H - Cadeira de transbordo.;Ônibus
352 TRANSPORTES LTDA;07.878.772/0001-70;BDO-7F16;Não;Sim;Não;2025-10-08;2025-07-22;2019;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
3G TRANSPORTE EXECUTIVO LTDA;32.998.548/0001-69;PDL-2A07;Não;Sim;Não;2025-10-30;2025-09-19;2017;Executivo;21;21;Sem Acessibilidade;Micro-ônibus
3G TRANSPORTE EXECUTIVO LTDA;32.998.548/0001-69;SNK-0B01;Não;Sim;Não;2025-06-01;2025-09-03;2023;Executivo;21;21;Sem Acessibilidade;Micro-ônibus
3MARC TRANSPORTES LTDA.;07.727.434/0001-37;KZN-8J90;Não;Sim;Não;2025-10-14;2025-08-09;2018;Executivo;17;17;H - Cadeira de transbordo.;Micro-ônibus
3MARC TRANSPORTES LTDA.;07.727.434/0001-37;RNG-2I49;Não;Sim;Não;2025-01-11;2025-08-31;2020;Executivo;20;20;Sem Acessibilidade;Micro-ônibus
3ML TRIP EIRELI - ME;27.745.262/0001-31;FJB-1E38;Não;Sim;Não;2025-08-21;2025-10-07;2019;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
3ML TRIP EIRELI - ME;27.745.262/0001-31;FJH-2I07;Não;Sim;Não;2025-08-21;2025-10-18;2022;Executivo;33;33;E - Dispositivo de acesso instalado no veículo, interligando este com a plataforma.;Ônibus
4S TRANSPORTE E TURISMO LTDA;31.713.169/0001-12;AUU-5J49;Não;Sim;Não;2025-10-24;2025-09-12;2011;Executivo;47;47;D - Passagem em nível da plataforma de embarque / desembarque do terminal (ou ponto de parada) para o salão de passageiros.;Ônibus
4S TRANSPORTES E TURISMO LTDA;21.803.876/0001-46;SVJ-2A96;Não;Sim;Não;2025-09-02;2025-08-29;2024;Executivo;16;16;Sem Acessibilidade;Micro-ônibus
4S TRANSPORTES E TURISMO LTDA;21.803.876/0001-46;SWX-3I17;Não;Sim;Não;2025-07-22;2025-07-22;2024;Executivo;19;19;Sem Acessibilidade;Micro-ônibus
