razao_social;cnpj;placa;servico_regular;servico_fretado;servico_semiurbano;data_validade_csv;validade_seguro
1A - GRANTURISMO TRANSPORTE LTDA ME;03.865.605/0001-33;IWO-4032;Não;Sim;Não;16/10/2020;04/07/2020
3ML TRIP EIRELI - ME;27.745.262/0001-31;FLO-0419;Não;Sim;Não;29/11/2020;12/12/2019
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;ATE-8445;Sim;Não;Não;30/11/2019;17/10/2020
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;AUU-2858;Sim;Não;Não;04/11/2020;19/12/2019
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;MWY-6457;Sim;Não;Não;04/11/2020;17/10/2020
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;OOM-8884;Sim;Não;Não;24/09/2020;14/12/2019
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;OOM-9929;Sim;Não;Não;20/09/2020;14/12/2019
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;OOM-9930;Sim;Não;Não;19/09/2020;14/12/2019
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;PRF-1701;Sim;Não;Não;29/03/2020;19/12/2019
4 IRMÃOS TRANSPORTES E TURISMO EIRELI-ME;07.622.365/0001-05;PRR-1703;Sim;Não;Não;28/02/2020;19/12/2019
4S TRANSPORTE E TURISMO EIRELI - ME;21.803.876/0001-46;DZE-0619;Não;Sim;Não;30/07/2020;15/12/2019
4S TRANSPORTE E TURISMO EIRELI - ME;21.803.876/0001-46;FED-1934;Não;Sim;Não;09/01/2020;15/12/2019
4S TRANSPORTE E TURISMO EIRELI - ME;21.803.876/0001-46;FUG-0397;Não;Sim;Não;17/09/2020;15/12/2019
4S TRANSPORTE E TURISMO EIRELI - ME;21.803.876/0001-46;FXR-3131;Não;Sim;Não;25/10/2020;15/12/2019
4S TRANSPORTE E TURISMO EIRELI - ME;21.803.876/0001-46;GIS-1573;Não;Sim;Não;20/08/2020;15/12/2019
4S TRANSPORTE E TURISMO LTDA;31.713.169/0001-12;MKG-9242;Não;Sim;Não;13/03/2020;01/07/2020
4SPETH TRANSPORTES LTDA - ME;21.155.563/0001-29;DAO-3980;Não;Sim;Não;05/12/2019;10/10/2020
4SPETH TRANSPORTES LTDA - ME;21.155.563/0001-29;FLY-4879;Não;Sim;Não;29/07/2020;05/10/2020
4SPETH TRANSPORTES LTDA - ME;21.155.563/0001-29;FNZ-8062;Não;Sim;Não;22/05/2020;12/01/2020
5S TUR LTDA;04.501.910/0001-09;MEJ-8E28;Não;Sim;Não;30/04/2020;18/02/2020
7 TURISMO EIRELI;08.896.951/0001-00;MWZ-2871;Não;Sim;Não;11/11/2020;15/04/2020
A & F TURISMO E LOCAÇÃO LTDA-ME;27.612.305/0001-00;GVQ-5687;Não;Sim;Não;26/06/2020;05/06/2020
A & M TRANSPORTES E TURISMO EIRELI;02.065.283/0001-85;OUG-3747;Não;Sim;Não;15/08/2020;09/12/2019
A & M TRANSPORTES E TURISMO EIRELI;02.065.283/0001-85;OUO-9847;Não;Sim;Não;10/06/2020;09/12/2019
A & M TRANSPORTES E TURISMO EIRELI;02.065.283/0001-85;OUU-9506;Não;Sim;Não;28/11/2020;09/12/2019
A & S AGENCIAMENTO TURISTICO LTDA;28.928.797/0001-00;FSX-4H45;Não;Sim;Não;15/08/2020;10/06/2020
A & S AGENCIAMENTO TURISTICO LTDA;28.928.797/0001-00;FTW-3994;Não;Sim;Não;07/06/2020;10/06/2020
A & S AGENCIAMENTO TURISTICO LTDA;28.928.797/0001-00;KYQ-6774;Não;Sim;Não;05/09/2020;16/09/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;BSF-9278;Não;Sim;Não;12/01/2020;13/12/2019
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;BTS-5093;Não;Sim;Não;03/04/2020;04/10/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;BUD-4345;Não;Sim;Não;30/04/2020;16/10/2020
A A DE RESENDE- TRANSPORTES E TURISMO - EIRELI;17.530.211/0001-39;CLH-3213;Não;Sim;Não;27/03/2020;16/10/2020
